Neighborhood,lat,lng
Abbassia,30.065008,31.27171
Ain Shams,30.127778,31.329167
Azbakeya,30.052778,31.248333
Bulaq,30.053,31.23
Daher,30.074167,31.27
Al-Darb al-Ahmar,30.0414,31.2584
El Marg,30.158333,31.333611
Helwan ,29.85,31.333333
Mokattam ,30.02,31.3
Manshiyat Naser,30.032244,31.275286
Nasr City,30.05,31.366667
El Qobbah,30.096667,31.310278
Rhoda Island ,30.020833,31.225556
El Sakkakini,30.067,31.266
Shubra ,30.0725,31.240833
El Sahel,30.084722,31.242222
Rod El Farag,30.076111,31.239722
Zeitoun,30.105,31.3103
Coptic Cairo,30.00628,31.231781
Downtown Cairo,30.0475,31.238333
Faggala,30.060278,31.254167
Fustat,30,31.233333
Islamic Cairo,30.046003,31.262717
El Matareya,30.129528,31.288889
Old Cairo,30.016667,31.233333
Garden City,30.035278,31.231111
Heliopolis,30.1,31.333333
Maadi,29.966667,31.25
Zamalek,30.066667,31.216667
Madinaty,30.091667,31.630556
El Rehab,30.066271,31.485601
Fifth Settlement,30.004722,31.434167
El Shorouk,30.144979,31.639912
Agouza,30.052222,31.215556
Mit Okba,30.060774,31.195407
Imbaba,30.0925,31.200556
Kerdasa,30.032021,31.110449
Dokki,30.038056,31.211111
Mohandiseen,30.053056,31.201944
6th of October,29.938126,30.91398
Sheikh Zayed City,30.05,31
Obour (city),30.205,31.4575
